,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,iPhone de Carlos (2),-69,40.6057605,-4.063117666666667,888.7,164036.00,1725813636.664277,"08/09/2024, 18:40:36.664277",31,0.0
1,MOVISTAR_PLUS_7F81,-77,40.6057605,-4.063117666666667,888.7,164036.00,1725813636.664277,"08/09/2024, 18:40:36.664277",23,0.0
2,MOVISTAR_7F81,-77,40.6057605,-4.063117666666667,888.7,164036.00,1725813636.664277,"08/09/2024, 18:40:36.664277",23,0.0
3,MOVISTAR_7F81,-88,40.6057605,-4.063117666666667,888.7,164036.00,1725813636.664277,"08/09/2024, 18:40:36.664277",12,0.0
4,iPhone de Carlos (2),-60,40.60576233333333,-4.0631175,888.8,164040.00,1725813641.159717,"08/09/2024, 18:40:41.159717",40,4.5
5,MOVISTAR_7F81,-76,40.60576233333333,-4.0631175,888.8,164040.00,1725813641.159717,"08/09/2024, 18:40:41.159717",24,4.5
6,MOVISTAR_PLUS_7F81,-77,40.60576233333333,-4.0631175,888.8,164040.00,1725813641.159717,"08/09/2024, 18:40:41.159717",23,4.5
7,MOVISTAR_7F81,-81,40.60576233333333,-4.0631175,888.8,164040.00,1725813641.159717,"08/09/2024, 18:40:41.159717",19,4.5
8,iPhone de Carlos (2),-61,40.605765166666664,-4.0631195,889.0,164044.00,1725813645.053607,"08/09/2024, 18:40:45.053607",39,8.4
9,MOVISTAR_PLUS_7F81,-75,40.605765166666664,-4.0631195,889.0,164044.00,1725813645.053607,"08/09/2024, 18:40:45.053607",25,8.4
10,MOVISTAR_7F81,-75,40.605765166666664,-4.0631195,889.0,164044.00,1725813645.053607,"08/09/2024, 18:40:45.053607",25,8.4
11,MOVISTAR_7F81,-87,40.605765166666664,-4.0631195,889.0,164044.00,1725813645.053607,"08/09/2024, 18:40:45.053607",13,8.4
12,iPhone de Carlos (2),-63,40.605766333333335,-4.063119833333333,889.0,164048.00,1725813649.750542,"08/09/2024, 18:40:49.750542",37,13.1
13,MOVISTAR_7F81,-78,40.605766333333335,-4.063119833333333,889.0,164048.00,1725813649.750542,"08/09/2024, 18:40:49.750542",22,13.1
14,MOVISTAR_PLUS_7F81,-83,40.605766333333335,-4.063119833333333,889.0,164048.00,1725813649.750542,"08/09/2024, 18:40:49.750542",17,13.1
15,MOVISTAR_7F81,-83,40.605766333333335,-4.063119833333333,889.0,164048.00,1725813649.750542,"08/09/2024, 18:40:49.750542",17,13.1
16,iPhone de Carlos (2),-62,40.605766833333334,-4.063121333333333,889.1,164053.00,1725813654.056405,"08/09/2024, 18:40:54.056405",38,17.4
17,MOVISTAR_PLUS_7F81,-79,40.605766833333334,-4.063121333333333,889.1,164053.00,1725813654.056405,"08/09/2024, 18:40:54.056405",21,17.4
18,MOVISTAR_7F81,-79,40.605766833333334,-4.063121333333333,889.1,164053.00,1725813654.056405,"08/09/2024, 18:40:54.056405",21,17.4
19,MOVISTAR_7F81,-85,40.605766833333334,-4.063121333333333,889.1,164053.00,1725813654.056405,"08/09/2024, 18:40:54.056405",15,17.4
20,iPhone de Carlos (2),-61,40.60576566666667,-4.063120333333333,889.4,164059.00,1725813659.949749,"08/09/2024, 18:40:59.949749",39,23.3
21,MOVISTAR_7F81,-80,40.60576566666667,-4.063120333333333,889.4,164059.00,1725813659.949749,"08/09/2024, 18:40:59.949749",20,23.3
22,MOVISTAR_7F81,-80,40.60576566666667,-4.063120333333333,889.4,164059.00,1725813659.949749,"08/09/2024, 18:40:59.949749",20,23.3
23,MOVISTAR_PLUS_7F81,-81,40.60576566666667,-4.063120333333333,889.4,164059.00,1725813659.949749,"08/09/2024, 18:40:59.949749",19,23.3
